cidade;IDH
Porto Velho;0.736
Vilhena;0.731
Cacoal;0.718
Ji-Paraná;0.714
Pimenta Bueno;0.710
Ariquemes;0.702
Rolim de Moura;0.700
Cerejeiras;0.692
Jaru;0.689
Colorado do Oeste;0.685
Ouro Preto do Oeste;0.682
Espigão d'Oeste;0.672
Santa Luzia d'Oeste;0.670
Pimenteiras do Oeste;0.665
Presidente Médici;0.664
Castanheiras;0.658
Guajará-Mirim;0.657
Chupinguaia;0.652
Cabixi;0.650
Candeias do Jamari;0.649
São Felipe d'Oeste;0.649
Cacaulândia;0.646
São Miguel do Guaporé;0.646
Mirante da Serra;0.643
Alvorada d'Oeste;0.643
Teixeirópolis;0.643
Nova Brasilândia d'Oeste;0.643
Rio Crespo;0.643
Primavera de Rondônia;0.641
Alta Floresta d'Oeste;0.641
Ministro Andreazza;0.638
Novo Horizonte do Oeste;0.634
Vale do Paraíso;0.627
Alto Paraíso;0.625
Parecis;0.617
Buritis;0.616
Itapuã do Oeste;0.614
Corumbiara;0.613
Cujubim;0.612
Costa Marques;0.611
São Francisco do Guaporé;0.611
Urupá;0.609
Monte Negro;0.607
Seringueiras;0.598
Governador Jorge Teixeira;0.596
Machadinho d'Oeste;0.596
Campo Novo de Rondônia;0.593
Alto Alegre dos Parecis;0.592
Theobroma;0.589
Nova União;0.587
Nova Mamoré;0.587
Vale do Anari;0.584
